Order ID,Order Date,Ship Date,Customer Segment,Country,Category,Product,Quantity,Unit Price ($),Discount,Revenue ($),Cost ($),Profit ($),Profit Margin %,Shipping Days,Month Name
ORD-2023-1001,2023-02-10,2023-02-12,Consumer,Uae,Audio & Accessories,Noise-Cancelling Headphones,1,220,0.05,209.0,95,114.0,54.54545454545454,2,Feb
ORD-2023-1002,2023-02-10,2023-02-12,Corporate,Saudi Arabia,Computing,Laptop Pro 15,5,1200,0.0,6000.0,3900,2100.0,35.0,2,Feb
ORD-2023-1003,2023-09-07,2023-09-10,Consumer,United States,Displays,"4K UHD Monitor 27""",1,380,0.05,361.0,260,101.0,27.977839335180054,3,Sep
ORD-2023-1004,2023-08-28,2023-08-29,Corporate,Germany,Displays,"4K UHD Monitor 27""",1,380,0.0,380.0,260,120.0,31.57894736842105,1,Aug
ORD-2023-1005,2023-04-14,2023-04-18,Corporate,Uae,Mobile Devices,Smartwatch Series 5,3,280,0.05,798.0,450,348.0,43.609022556390975,4,Apr
ORD-2023-1006,2023-04-27,2023-05-01,Consumer,Saudi Arabia,Mobile Devices,Smartphone Ultra,8,950,0.0,7600.0,4800,2800.0,36.84210526315789,4,Apr
ORD-2023-1007,2023-07-11,2023-07-16,Small Business,Uae,Mobile Devices,Smartphone Ultra,1,950,0.0,950.0,600,350.0,36.84210526315789,5,Jul
ORD-2023-1008,2023-12-09,2023-12-12,Small Business,Egypt,Audio & Accessories,Noise-Cancelling Headphones,1,220,0.0,220.0,95,125.0,56.81818181818182,3,Dec
ORD-2023-1009,2023-06-23,2023-06-24,Consumer,Uae,Audio & Accessories,Noise-Cancelling Headphones,3,220,0.0,660.0,285,375.0,56.81818181818182,1,Jun
ORD-2023-1010,2023-01-29,2023-02-03,Corporate,Egypt,Displays,"4K UHD Monitor 27""",3,380,0.05,1083.0,780,303.0,27.977839335180054,5,Jan
ORD-2023-1011,2023-09-20,2023-09-23,Consumer,Germany,Mobile Devices,Smartwatch Series 5,2,280,0.1,504.0,300,204.0,40.476190476190474,3,Sep
ORD-2023-1012,2023-07-27,2023-08-03,Corporate,Germany,Audio & Accessories,Noise-Cancelling Headphones,3,220,0.05,627.0,285,342.0,54.54545454545454,7,Jul
ORD-2023-1013,2023-10-13,2023-10-15,Corporate,Egypt,Displays,"4K UHD Monitor 27""",2,380,0.1,684.0,520,164.0,23.976608187134502,2,Oct
ORD-2023-1014,2023-07-19,2023-07-23,Corporate,Germany,Displays,"4K UHD Monitor 27""",2,380,0.2,608.0,520,88.0,14.473684210526317,4,Jul
ORD-2023-1015,2023-05-12,2023-05-15,Consumer,Egypt,Audio & Accessories,Noise-Cancelling Headphones,5,220,0.0,1100.0,475,625.0,56.81818181818182,3,May
ORD-2023-1016,2023-10-08,2023-10-10,Consumer,Saudi Arabia,Computing,"Tablet Air 10""",4,520,0.0,2080.0,1360,720.0,34.61538461538461,2,Oct
ORD-2023-1017,2023-08-08,2023-08-11,Corporate,Germany,Mobile Devices,Smartwatch Series 5,1,280,0.0,280.0,150,130.0,46.42857142857143,3,Aug
ORD-2023-1018,2023-05-10,2023-05-13,Consumer,Saudi Arabia,Computing,Laptop Pro 15,1,1200,0.2,960.0,780,180.0,18.75,3,May
ORD-2023-1019,2023-02-16,2023-02-18,Corporate,United States,Mobile Devices,Smartwatch Series 5,2,280,0.2,448.0,300,148.0,33.035714285714285,2,Feb
ORD-2023-1020,2023-08-24,2023-08-27,Corporate,United Kingdom,Computing,"Tablet Air 10""",2,520,0.0,1040.0,680,360.0,34.61538461538461,3,Aug
ORD-2023-1021,2023-02-24,2023-02-27,Consumer,Saudi Arabia,Audio & Accessories,Mechanical Gaming Keyboard,2,110,0.0,220.0,90,130.0,59.09090909090909,3,Feb
ORD-2023-1022,2023-12-16,2023-12-18,Consumer,Germany,Mobile Devices,Smartphone Ultra,2,950,0.0,1900.0,1200,700.0,36.84210526315789,2,Dec
ORD-2023-1023,2023-04-21,2023-04-26,Corporate,Uae,Displays,"4K UHD Monitor 27""",1,380,0.15,323.0,260,63.0,19.5046439628483,5,Apr
ORD-2023-1024,2023-07-28,2023-08-02,Corporate,Egypt,Audio & Accessories,Noise-Cancelling Headphones,5,220,0.05,1045.0,475,570.0,54.54545454545454,5,Jul
